Age,Gender,"Location (country, city)","Educational level (e.g., undergraduate, graduate)","Stream(MEDIICAL,ENGINEERING,DESIGNING,etc.)",Reading frequency ,Average Reading Duration (minutes),"Types of content (e.g., textbooks, research papers, fiction, technical articles)","Reading preferences (e-books, PDFs, web articles)"
35,Female,Mumbai,Professional Level,Mechanical Engineering,DAILY,15,Textbooks,
24,Female,Delhi,Undergraduate/Graduate Level,Software Engineering,WEEKLY,30,Research Papers,
42,Female,Bangalore,Professional Level,Electrical Engineering,MONTHLY,60,Fiction Novels,
31,Male,Hyderabad,Master's Level,Civil Engineering,WEEKLY,45,Technical Articles,
56,Male,Chennai,Professional Level,Chemical Engineering,DAILY,90,Textbooks,
20,Male,Kolkata,Undergraduate/Graduate Level,Computer Science/Engineering,MONTHLY,45,Research Papers,
48,Female,Pune,Professional Level,Legal Studies,DAILY,30,Fiction Novels,
29,Female,Ahmedabad,Master's Level,Interior Design,WEEKLY,60,Textbooks,
53,Female,Jaipur,Professional Level,Mechanical Engineering,DAILY,15,Technical Articles,
38,Female,Lucknow,Professional Level,Architecture,MONTHLY,45,Magazine Articles,
45,Female,Surat,Professional Level,Electrical Engineering,WEEKLY,90,Blogs,
22,Female,Kanpur,Undergraduate/Graduate Level,Computer Science/Engineering,DAILY,15,Poetry,
50,Female,Nagpur,Professional Level,Civil Engineering,DAILY,30,Instruction Manual,
26,Male,Indore,Master's Level,Software Engineering,WEEKLY,60,Textbooks,
19,Male,Thane,Undergraduate/Graduate Level,Medicine,MONTHLY,45,Research Papers,
52,Female,Bhopal,Professional Level,Mechanical Engineering,DAILY,30,News Articles,
33,Female,Visakhapatnam,Master's Level,Electrical Engineering,WEEKLY,15,Textbooks,
40,Female,Pimpri-Chinchwad,Professional Level,Chemical Engineering,MONTHLY,90,Technical Articles,
28,Male,Patna,Master's Level,Software Engineering,MONTHLY,45,Research Papers,
44,Male,Vadodara,Professional Level,Nursing,DAILY,60,Fiction Novels,
18,Male,Ghaziabad,Undergraduate/Graduate Level,Mechanical Engineering,WEEKLY,30,Textbooks,
51,Male,Ludhiana,Professional Level,Civil Engineering,MONTHLY,45,Technical Articles,
36,Male,Agra,Professional Level,Computer Science/Engineering,WEEKLY,90,Textbooks,
21,Female,Nashik,Undergraduate/Graduate Level,Legal Studies,DAILY,15,Technical Articles,
49,Female,Faridabad,Professional Level,Chemical Engineering,DAILY,60,Research Papers,
34,Female,Meerut,Master's Level,Electrical Engineering,WEEKLY,45,Textbooks,
57,Female,Rajkot,Professional Level,Mechanical Engineering,MONTHLY,30,Technical Articles,
25,Female,Varanasi,Master's Level,Software Engineering,MONTHLY,15,Research Papers,
46,Female,Srinagar,Professional Level,Medicine,DAILY,60,Technical Articles,
30,Female,Aurangabad,Master's Level,Interior Design,WEEKLY,90,Textbooks,
54,Female,Dhanbad,Professional Level,Civil Engineering,DAILY,45,Research Papers,
23,Female,Amritsar,Undergraduate/Graduate Level,Computer Science/Engineering,WEEKLY,30,Technical Articles,
55,Female,Navi Mumbai,Professional Level,Chemical Engineering,MONTHLY,60,Research Papers,
37,Female,Allahabad,Professional Level,Mechanical Engineering,WEEKLY,15,Textbooks,
27,Female,Ranchi,Master's Level,Electrical Engineering,DAILY,90,Research Papers,
47,Male,Howrah,Professional Level,Legal Studies,DAILY,45,Technical Articles,
32,Female,Jabalpur,Master's Level,Architecture,WEEKLY,30,Textbooks,
41,Female,Gwalior,Professional Level,Civil Engineering,MONTHLY,60,Technical Articles,
58,Female,Vijayawada,Professional Level,Software Engineering,MONTHLY,15,Research Papers,
39,Female,Jodhpur,Professional Level,Nursing,WEEKLY,45,Fiction Novels,
22,Male,Raipur,Undergraduate/Graduate Level,Chemical Engineering,DAILY,90,Textbooks,
50,Male,Kota,Professional Level,Mechanical Engineering,WEEKLY,30,Technical Articles,
35,Male,Guwahati,Professional Level,Computer Science/Engineering,MONTHLY,60,News Articles,
24,Male,Chandigarh,Undergraduate/Graduate Level,Electrical Engineering,DAILY,45,Textbooks,
52,Male,Solapur,Professional Level,Medicine,WEEKLY,15,Research Papers,
19,Male,Hubli-Dharwad,Undergraduate/Graduate Level,Interior Design,DAILY,30,Technical Articles,
56,Male,Bareilly,Professional Level,Civil Engineering,WEEKLY,60,Blogs,
31,Male,Moradabad,Master's Level,Software Engineering,MONTHLY,90,Textbooks,
45,Female,Mysore,Professional Level,Mechanical Engineering,MONTHLY,15,Technical Articles,
29,Female,Gurgaon,Master's Level,Chemical Engineering,DAILY,30,Textbooks,
53,Female,Kolkata,Professional Level,Electrical Engineering,DAILY,45,Technical Articles,
38,Female,Pune,Professional Level,Computer Science/Engineering,WEEKLY,60,Research Papers,
20,Female,Mysore,Undergraduate/Graduate Level,Legal Studies,MONTHLY,15,Textbooks,
48,Female,Rajkot,Professional Level,Nursing,DAILY,90,Technical Articles,
54,Female,Bhopal,Professional Level,Mechanical Engineering,MONTHLY,30,Research Papers,
36,Female,Surat,Professional Level,Medicine,DAILY,45,Technical Articles,
33,Female,Ghaziabad,Master's Level,Architecture,WEEKLY,60,Textbooks,
57,Female,Patna,Professional Level,Civil Engineering,DAILY,15,Research Papers,
26,Male,Gwalior,Master's Level,Electrical Engineering,MONTHLY,45,Technical Articles,
21,Female,Navi Mumbai,Undergraduate/Graduate Level,Software Engineering,WEEKLY,30,Research Papers,
43,Female,Chennai,Professional Level,Chemical Engineering,MONTHLY,60,Textbooks,
18,Female,Indore,Undergraduate/Graduate Level,Mechanical Engineering,DAILY,45,Research Papers,
30,Female,Ranchi,Master's Level,Computer Science/Engineering,DAILY,15,Technical Articles,
40,Female,Lucknow,Professional Level,Interior Design,WEEKLY,90,Textbooks,
25,Female,Varanasi,Master's Level,Medicine,MONTHLY,30,Technical Articles,
55,Female,Visakhapatnam,Professional Level,Civil Engineering,WEEKLY,60,Textbooks,
42,Male,Kanpur,Professional Level,Electrical Engineering,DAILY,45,Technical Articles,
27,Female,Vadodara,Master's Level,Mechanical Engineering,MONTHLY,15,Research Papers,
49,Male,Srinagar,Professional Level,Software Engineering,WEEKLY,30,Textbooks,
23,Female,Allahabad,Undergraduate/Graduate Level,Chemical Engineering,DAILY,60,Technical Articles,
47,Male,Dhanbad,Professional Level,Computer Science/Engineering,MONTHLY,45,Research Papers,
34,Female,Mumbai,Master's Level,Legal Studies,WEEKLY,90,Technical Articles,
51,Male,Jabalpur,Professional Level,Mechanical Engineering,DAILY,15,Textbooks,
28,Female,Guwahati,Master's Level,Electrical Engineering,WEEKLY,30,Research Papers,
22,Female,Nashik,Undergraduate/Graduate Level,Civil Engineering,DAILY,60,Technical Articles,
37,Male,Chandigarh,Professional Level,Nursing,MONTHLY,45,Fiction Novels,
46,Male,Agra,Professional Level,Chemical Engineering,WEEKLY,90,Textbooks,
52,Female,Hubli-Dharwad,Professional Level,Software Engineering,DAILY,15,Technical Articles,
39,Female,Amritsar,Professional Level,Medicine,MONTHLY,30,News Articles,
58,Male,Kota,Professional Level,Mechanical Engineering,WEEKLY,60,Textbooks,
32,Female,Meerut,Master's Level,Civil Engineering,DAILY,45,Research Papers,
56,Male,Aurangabad,Professional Level,Computer Science/Engineering,WEEKLY,60,Technical Articles,
31,Female,Solapur,Master's Level,Legal Studies,MONTHLY,15,Blogs,
24,Male,Bareilly,Undergraduate/Graduate Level,Electrical Engineering,DAILY,30,Textbooks,
53,Female,Nagpur,Professional Level,Mechanical Engineering,WEEKLY,90,Technical Articles,
19,Male,Jaipur,Undergraduate/Graduate Level,Interior Design,DAILY,45,Textbooks,
44,Female,Faridabad,Professional Level,Architecture,MONTHLY,60,Technical Articles,
20,Male,Thane,Undergraduate/Graduate Level,Software Engineering,DAILY,30,Research Papers,
35,Female,Ludhiana,Professional Level,Chemical Engineering,MONTHLY,15,Textbooks,
50,Male,Delhi,Professional Level,Medicine,WEEKLY,45,Technical Articles,
26,Female,Gurgaon,Master's Level,Computer Science/Engineering,DAILY,60,Research Papers,
37,Female,Pimpri-Chinchwad,Professional Level,Civil Engineering,WEEKLY,30,Technical Articles,
21,Female,Ahmedabad,Undergraduate/Graduate Level,Electrical Engineering,MONTHLY,90,Textbooks,
47,Male,Jodhpur,Professional Level,Mechanical Engineering,DAILY,15,Research Papers,
52,Male,Hyderabad,Professional Level,Nursing,WEEKLY,45,Technical Articles,
38,Female,Moradabad,Professional Level,Legal Studies,MONTHLY,60,Research Papers,
55,Female,Vadodara,Professional Level,Software Engineering,DAILY,30,Textbooks,
34,Male,Howrah,Master's Level,Chemical Engineering,DAILY,60,Research Papers,
45,Male,Chennai,Professional Level,Mechanical Engineering,WEEKLY,45,Technical Articles,
29,Male,Pune,Master's Level,Electrical Engineering,MONTHLY,15,Textbooks,
58,Male,Kolkata,Professional Level,Chemical Engineering,WEEKLY,30,Technical Articles,
22,Female,Srinagar,Undergraduate/Graduate Level,Civil Engineering,DAILY,60,Research Papers,
30,Female,Patna,Master's Level,Computer Science/Engineering,MONTHLY,45,Technical Articles,
43,Female,Jaipur,Professional Level,Legal Studies,WEEKLY,90,Textbooks,
18,Female,Ghaziabad,Undergraduate/Graduate Level,Mechanical Engineering,DAILY,15,Research Papers,
41,Female,Bhopal,Professional Level,Software Engineering,WEEKLY,30,Technical Articles,
27,Female,Amritsar,Master's Level,Electrical Engineering,MONTHLY,60,Textbooks,
51,Female,Navi Mumbai,Professional Level,Medicine,DAILY,45,Technical Articles,
23,Female,Visakhapatnam,Undergraduate/Graduate Level,Mechanical Engineering,MONTHLY,15,Research Papers,
46,Female,Gwalior,Professional Level,Computer Science/Engineering,DAILY,30,Fiction Novels,
33,Female,Mysore,Master's Level,Architecture,WEEKLY,60,Textbooks,
57,Female,Ranchi,Professional Level,Civil Engineering,MONTHLY,45,Technical Articles,
25,Female,Indore,Master's Level,Electrical Engineering,WEEKLY,90,News Articles,
54,Female,Varanasi,Professional Level,Interior Design,DAILY,60,Textbooks,
28,Male,Surat,Master's Level,Software Engineering,DAILY,30,Research Papers,
39,Female,Jabalpur,Professional Level,Nursing,WEEKLY,45,Technical Articles,
36,Female,Gurgaon,Professional Level,Chemical Engineering,MONTHLY,15,Blogs,
32,Female,Vadodara,Master's Level,Electrical Engineering,MONTHLY,60,Textbooks,
55,Male,Nagpur,Professional Level,Mechanical Engineering,DAILY,45,Technical Articles,
20,Female,Kanpur,Undergraduate/Graduate Level,Medicine,WEEKLY,30,Textbooks,
56,Female,Lucknow,Professional Level,Legal Studies,DAILY,60,Technical Articles,
22,Female,Agra,Undergraduate/Graduate Level,Civil Engineering,WEEKLY,45,Research Papers,
49,Female,Dhanbad,Professional Level,Software Engineering,MONTHLY,15,Textbooks,
19,Female,Rajkot,Undergraduate/Graduate Level,Computer Science/Engineering,DAILY,90,Technical Articles,
53,Male,Chandigarh,Professional Level,Mechanical Engineering,WEEKLY,30,Research Papers,
24,Female,Chennai,Undergraduate/Graduate Level,Electrical Engineering,DAILY,60,Technical Articles,
40,Female,Allahabad,Professional Level,Chemical Engineering,MONTHLY,45,Textbooks,
31,Male,Hubli-Dharwad,Master's Level,Civil Engineering,WEEKLY,15,Research Papers,
48,Female,Pune,Professional Level,Computer Science/Engineering,DAILY,30,Technical Articles,
